Identifier,Station Number,Lat,Lon,Name,Start,End
CAM00071802,71802,47.5167,-52.7833,ST JOHN'S WEST UA,2009,2020
CAM00071811,71811,50.2167,-66.25,SEPT-ILES UA,1954,2020
CAM00071815,71815,48.5667,-58.5667,STEPHENVILLE UA,1946,2020
CAM00071816,71816,53.3,-60.3667,GOOSE UA,1946,2020
CAM00071823,71823,53.7572,-73.6792,LA GRANDE IV UA,1985,2020
CAM00071836,71836,51.2667,-80.65,MOOSONEE UA,1954,2020
CAM00071845,71845,51.45,-90.2,PICKLE LAKE UA,1992,2020
CAM00071867,71867,53.9667,-101.1,THE PAS UA,1954,2020
CAM00071906,71906,58.1167,-68.4167,KUUJJUAQ,1947,2020
CAM00071907,71907,58.4667,-78.0833,INUKJUAK UA,1950,2020
CAM00071908,71908,53.9,-122.79,PRINCE GEORGE UA,2000,2020
CAM00071909,71909,63.75,-68.55,IQALUIT UA,1946,2020
CAM00071913,71913,58.7333,-94.0667,CHURCHILL A UA,1950,2020
CAM00071917,71917,79.9833,-85.9333,EUREKA UA,1948,2020
CAM00071924,71924,74.7042,-94.9681,RESOLUTE UA,1948,2020
CAM00071925,71925,69.1333,-105.0667,CAMBRIDGE BAY UA,1962,2020
CAM00071926,71926,64.3167,-96,BAKER LAKE UA,1949,2020
CAM00071934,71934,60.0261,-111.9294,FORT SMITH UA,1954,2020
CAM00071945,71945,58.8333,-122.6,FORT NELSON UA,1954,2020
CAM00071957,71957,68.3167,-133.5167,INUVIK UA,1960,2020
CAM00071964,71964,60.7328,-135.0969,WHITEHORSE UA,1954,2020
CEM00043413,43413,8.9833,79.9167,MANNAR,1938,2020
CEM00043418,43418,8.5833,81.25,TRINCOMALEE,1973,2020
CEM00043466,43466,6.9,79.8667,COLOMBO,1939,2020
CFM00064400,64400,-4.8167,11.9,POINTE-NOIRE,1947,2020
CFM00064450,64450,-4.25,15.25,BRAZZAVILLE /MAYA-MAYA,1973,2020
CHM00050527,50527,49.25,119.7,HAILAR,1956,2020
CHM00050557,50557,49.1667,125.2333,NENJIANG,1956,2020
CHM00050774,50774,47.7167,128.8333,YICHUN,1973,2020
CHM00050953,50953,45.9333,126.5667,HARBIN,1958,2020
CHM00051076,51076,47.7333,88.0833,ALTAY,1958,2020
CHM00051431,51431,43.95,81.3333,YINING,1956,2020
CHM00051463,51463,43.7833,87.6167,WU LU MU QI,1956,2020
CHM00051644,51644,41.7167,82.95,KUQA,1957,2020
CHM00051709,51709,39.4833,75.75,KASHI,1956,2020
CHM00051777,51777,39.0333,88.1667,RUOQIANG,1956,2020
CHM00051828,51828,37.1333,79.9333,HOTAN,1957,2020
CHM00051839,51839,37.0667,82.7167,MINFENG,1973,2020
CHM00052203,52203,42.8167,93.5167,HAMI,1957,2020
CHM00052267,52267,41.95,101.0667,EJIN QI,1957,2020
CHM00052323,52323,41.8,97.0333,MAZONG SHAN,1963,2020
CHM00052418,52418,40.15,94.6833,DUNHUANG,1957,2020
CHM00052533,52533,39.7667,98.4833,JIUQUAN,1956,2020
CHM00052681,52681,38.6333,103.0833,MINQIN,1957,2020
CHM00052818,52818,36.4167,94.9,GOLMUD,1957,2020
CHM00052836,52836,36.3,98.1,DOULAN,1956,2020
CHM00052866,52866,36.7167,101.75,XINING,1958,2020
CHM00052983,52983,35.8667,104.15,YU ZHONG,2001,2020
CHM00053068,53068,43.6333,111.95,ERENHOT,1973,2020
CHM00053336,53336,41.5667,108.5167,HALIUT,1973,2020
CHM00053463,53463,40.85,111.5667,HOHHOT,1956,2020
CHM00053513,53513,40.7333,107.3667,LINHE,1973,2020
CHM00053543,53543,39.8333,109.9833,DONGSHENG,1963,2020
CHM00053614,53614,38.4667,106.2,YINCHUAN,1957,2020
CHM00053772,53772,37.6206,112.5767,TAIYUAN,1956,2020
CHM00053798,53798,37.1808,114.3589,XINGTAI,1967,2020
